,0,1,2,3,4,5,6,7,8
0,7303,0,0,0,0,0,0,0,0
1,7,6,0,0,0,32,0,0,0
2,17,1,0,0,0,63,0,0,0
3,6,3,0,0,0,45,0,0,0
4,23,3,0,0,0,98,0,0,0
5,0,0,0,0,0,8029,0,0,0
6,0,0,0,0,0,29,0,0,0
7,0,0,0,0,0,140,0,23,0
8,0,0,0,0,0,12,0,0,0
